"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Welcome section with an immersive and interactive overview of GearUp Garage, highlighting key features like 3D car model customization and smart filtering."
"","Features List Section","List of key features: 3D interactive car model for part customization, smart filtering system, dynamic product pages, community-driven content."
"","Services Section","Overview of the services offered including 3D previews, dynamic filters, live customer reviews, and a sleek checkout system."
"","Testimonial Section","Customer testimonials and reviews to build trust and showcase user satisfaction."
"","CTA Section","Call-to-action encouraging visitors to start customizing their vehicle or browse high-performance auto parts."
"","Newsletter Section","Subscription form for users to sign up for newsletters and stay updated with the latest products and community builds."
"","Footer",""
"Shop","Navbar",""
"","Ecommerce Product Section","Displays a variety of high-performance auto parts available for purchase, with product images, prices, and short descriptions."
"","Feature Section","Highlight the smart filtering system, allowing users to search by car model/year for a personalized shopping experience."
"","Feature Section","Showcase dynamic product pages with zoom-in effects, video reviews, and spec checker to enhance the shopping experience."
"","Feature Section","Explain the seamless checkout process, including payment options such as Apple Pay, Google Pay, and PayPal."
"","CTA Form Section","Encourage users to join the GearUp Garage community and receive updates on new products, special offers, and community builds."
"","FAQ Section","Provide answers to common questions about the shop, products, shipping, and returns to assist users in their purchase journey."
"","Footer",""
"Product","Navbar",""
"","Ecommerce Product Header Section","Header section with the product title, high-quality images, and a brief overview."
"","Ecommerce Product Section","Detailed product information including specifications, features, pricing, and availability."
"","Ecommerce Product Section","3D interactive model of the part for customization and detailed viewing."
"","Ecommerce Product Section","Zoom-in effects and video reviews demonstrating the product in use."
"","Reviews Section","Live customer reviews and ratings to provide social proof and user feedback."
"","CTA Section","Call-to-action encouraging users to add the product to their cart or wishlist."
"","CTA Form Section","Form for users to inquire about the product or request additional information."
"","Ecommerce Product Section","Spec checker tool to ensure compatibility with user's vehicle model and year."
"","Footer",""
"Categories","Navbar",""
"","Header Section","Introduction to the various categories of high-performance auto parts available at GearUp Garage, emphasizing ease of navigation and discovery."
"","Features List Section","Highlight the main categories: Engine Parts, Exhaust Systems, Suspension Kits, Brake Components, and Interior Accessories."
"","Feature Section","Detailed section on Engine Parts, including key subcategories like Turbochargers, Pistons, and Crankshafts."
"","Feature Section","Detailed section on Exhaust Systems, including key subcategories like Mufflers, Catalytic Converters, and Headers."
